invoice_no,client,amount_chf,amount_btc,ts,notes
,Amelia Martin,26438.06,32733.19,2025-04-10,
,Liam Williams,28584.42,19051.78,2024-08-18,
,Ethan Davis,27969.08,16330.19,2024-08-24,
,Isabella Rodriguez,46781.53,36629.37,2026-11-19,
,Logan Hernandez,5177.8,22546.18,2025-08-25,
,Matthew Wilson,12434.39,20943.3,2025-05-18,
,John Garcia,42779.56,365.89,2023-05-11,
,Isabella Martinez,6840.33,14524.17,2025-04-23,
,Abigail Brown,49754.52,30090.68,2026-01-01,
,Ava Taylor,29720.96,37495.95,2023-05-12,
,Aiden Jones,2493.36,43851.95,2025-04-24,
,Ava Martinez,38512.18,30237.8,2025-10-08,
,Matthew Williams,33872.31,19529.11,2024-03-05,
,Charlotte Williams,28594.43,22276.03,2023-05-16,
,Matthew Gonzalez,33695.7,17621.53,2023-11-18,
,Noah Williams,43083.82,25254.88,2025-04-07,
,Jackson Martin,2305.19,24186.99,2023-11-12,
,Olivia Smith,1351.23,13717.39,2023-12-18,
,Scarlett Johnson,20483.22,12127.63,2024-02-04,
,Isabella Martin,3405.37,22737.12,2024-11-14,
,Jackson Smith,944.82,14906.09,2024-04-27,
,Logan Miller,12270.18,24753.46,2024-09-09,
,Harper Taylor,29755.89,9777.45,2025-08-23,
,Ella Martinez,45550.09,9190.3,2024-12-05,
,Logan Williams,11309.96,47518.94,2026-02-28,
,Ethan Thomas,44975.84,4937.17,2023-03-21,
,Liam Thomas,49284.31,15098.99,2026-06-19,
,Jackson Hernandez,8080.31,21523.54,2026-09-09,
,Grace Smith,30452.64,45924.11,2026-05-14,
,Sophia Davis,32480.44,13840.33,2024-12-27,
,Scarlett Martinez,16865.62,10720.67,2026-05-03,
,Alexander Miller,46479.63,4081.8,2026-06-17,
,Ethan Martin,8224.63,37917.51,2023-05-06,
,Abigail Thomas,10186.71,44448.23,2024-05-07,
,Sophia Brown,45492.62,41589.53,2024-07-26,
,Scarlett Brown,32335.63,23800.6,2023-01-27,
,Abigail Anderson,9874.92,31850.69,2024-01-03,
,Grace Hernandez,1374.51,15913.02,2024-07-21,
,Daniel Gonzalez,552.18,45239.36,2024-05-18,
,Daniel Thomas,16123.67,25708.16,2023-11-06,
,Aiden Gonzalez,28139.78,10464.37,2026-04-03,
,James Anderson,34951.11,45589.83,2025-01-25,
,Grace Garcia,7910.35,5295.32,2023-12-27,
,John Rodriguez,46426.03,32108.76,2023-09-01,
,Daniel Moore,1447.58,8819.63,2023-02-10,
,Benjamin Thomas,48377.99,24308.68,2024-10-07,
,Abigail Martinez,14551.81,19995.87,2026-04-24,
,James Taylor,1398.69,9158.6,2025-09-21,
,Matthew Wilson,488.89,32301.23,2023-12-16,
,Sophia Miller,10629.86,32867.97,2023-11-18,
,Aiden Davis,38140.46,8115.73,2024-04-17,
,Alexander Wilson,3703.66,5700.71,2026-04-01,
,Mia Taylor,8401.62,8014.92,2023-01-03,
,Ella Martinez,22152.58,29708.65,2023-01-06,
,Alexander Jones,38874.33,2918.81,2023-03-18,
,Charlotte Anderson,4240.52,39499.52,2025-09-12,
,Mia Hernandez,10027.85,21176.11,2025-03-22,
,Ella Jones,36990.69,48370.78,2023-08-03,
,Charlotte Anderson,10746.63,49488.67,2025-04-16,
,Benjamin Martinez,23322.58,4157.54,2026-06-18,
,Charlotte Davis,28770.63,32516.58,2024-11-12,
,Charlotte Wilson,11731.88,25908.06,2026-10-26,
,Jackson Rodriguez,13554.69,38532.17,2026-09-28,
,Harper Thomas,17728.25,34161.27,2024-08-26,
,Mason Williams,42897.46,1019.98,2026-02-06,
,Grace Gonzalez,10863.5,4618.43,2026-01-13,
,Isabella Davis,6484.04,28894.3,2025-09-18,
,Jackson Jones,12522.97,44202.25,2026-12-06,
,Logan Hernandez,43612.51,39632.74,2025-08-24,
,Matthew Martin,25242.78,17898.58,2025-01-20,
,Alexander Moore,21182.32,16611.24,2026-02-04,
,Emma Anderson,42958.71,31723.09,2023-04-10,
,Noah Davis,23669.17,15376.9,2026-03-15,
,Abigail Martin,14550.2,3782.89,2023-12-25,
,Emma Johnson,33395.73,12123.07,2026-10-06,
,Charlotte Thomas,31695.1,30641.51,2024-01-27,
,Ava Moore,9389.26,31407.02,2024-09-10,
,Isabella Williams,22421.31,40563.0,2023-08-20,
,Grace Martin,29169.77,42832.0,2023-02-15,
,Ella Anderson,17900.76,43766.97,2024-09-21,
,James Smith,29292.22,46245.64,2026-02-09,
,Ava Williams,31340.74,23016.32,2026-12-02,
,Benjamin Garcia,35.35,5687.56,2026-10-14,
,Benjamin Lopez,21370.38,7284.81,2023-09-02,
,Lucas Martin,11193.36,27479.52,2023-01-21,
,Isabella Johnson,1591.75,11856.23,2024-04-04,
,Jackson Moore,7067.6,7324.99,2025-07-03,
,Noah Rodriguez,36297.28,19160.45,2024-09-10,
,Noah Rodriguez,31663.45,30006.93,2025-03-27,
,Noah Miller,16835.7,44590.95,2024-10-11,
,Grace Lopez,11858.33,8990.3,2025-01-24,
,Daniel Thomas,49078.69,34512.67,2024-12-22,
,Liam Moore,990.88,11772.8,2026-12-05,
,Matthew Smith,23924.73,3740.52,2023-04-21,
,Evelyn Rodriguez,11071.67,45150.09,2023-02-13,
,Emma Jones,40507.97,10305.64,2026-06-11,
,Ethan Thomas,20262.44,38294.67,2024-06-25,
,Liam Martin,17594.35,44196.39,2025-08-03,
,Ava Hernandez,23607.31,32033.19,2025-05-05,
,Benjamin Brown,37394.16,8884.48,2023-12-08,
,Lucas Jones,1222.22,42809.65,2024-02-07,
,Ava Williams,39396.99,32118.81,2024-12-14,
,Ella Martinez,43966.56,19657.63,2024-12-15,
,Scarlett Taylor,48336.1,3028.85,2023-01-09,
,Liam Johnson,44756.48,3843.83,2025-11-22,
,Amelia Martin,26037.75,40754.8,2024-10-09,
,Harper Thomas,901.98,37110.94,2026-11-17,
,Jackson Moore,340.45,32495.94,2023-03-22,
,Benjamin Wilson,47988.99,29461.92,2025-12-28,
,Ethan Hernandez,31288.31,31415.48,2025-02-22,
,John Jackson,9577.63,25575.71,2023-08-20,
,Benjamin Smith,33240.15,29638.23,2025-05-11,
,Mia Jackson,48600.38,48450.27,2026-07-18,
,Matthew Johnson,20243.96,43654.23,2025-07-20,
,Jackson Smith,30811.94,22706.27,2026-09-10,
,Isabella Martinez,9698.0,1521.99,2023-01-24,
,Benjamin Williams,33637.53,46197.86,2023-03-04,
,Noah Miller,16710.12,49278.43,2024-09-21,
,Harper Lopez,47412.01,38240.72,2026-12-23,
,James Anderson,32968.49,12113.19,2023-11-15,
,Charlotte Martinez,37563.44,31636.84,2026-01-19,
,Sophia Williams,18871.86,49234.79,2025-05-17,
,Matthew Gonzalez,11643.72,5055.89,2024-09-13,
,Liam Martin,34090.6,29296.35,2026-09-09,
,Mason Lopez,24818.81,22425.82,2026-07-27,
,Amelia Miller,11238.66,5378.39,2025-02-09,
,Amelia Martinez,35531.92,29293.96,2023-05-08,
,Noah Hernandez,49905.33,14576.44,2024-06-14,
,Noah Davis,7292.27,44333.8,2024-05-06,
,Liam Garcia,24997.63,47310.38,2024-01-28,
,Evelyn Brown,12514.72,44609.65,2023-09-27,
,Alexander Hernandez,7172.41,28334.6,2025-07-26,
,James Davis,40913.24,33289.76,2023-06-15,
,Grace Davis,44857.46,28288.63,2023-04-17,
,Abigail Miller,31021.19,3935.9,2024-08-28,
,Harper Jones,38152.33,17858.35,2026-07-25,
,Evelyn Jackson,45027.83,8181.77,2025-01-24,
,Benjamin Wilson,33288.64,19556.54,2023-12-15,
,Harper Jackson,37297.29,5601.81,2026-08-01,
,Isabella Miller,1941.53,23270.67,2023-01-20,
,Grace Wilson,23969.71,41937.93,2026-10-27,
,Noah Thomas,19661.39,19211.41,2026-05-17,
,Lucas Smith,30935.08,31450.85,2023-08-02,
,Liam Williams,22789.33,9669.93,2026-04-05,
,Lucas Smith,26075.79,48773.69,2023-01-03,
,Lucas Martinez,49748.06,34299.55,2024-04-24,
,Charlotte Johnson,43840.59,41376.15,2023-01-10,
,Ava Thomas,34834.62,38461.05,2026-11-03,
,Mason Gonzalez,46023.5,25597.23,2023-04-02,
,Aiden Johnson,13487.18,35421.28,2024-07-02,
,Daniel Johnson,47682.79,25825.81,2025-06-17,
,Mia Davis,47810.92,3641.41,2025-07-04,
,Sophia Williams,31567.69,4201.15,2024-04-26,
,Liam Garcia,26485.61,34390.41,2026-02-13,
,James Smith,31052.42,6337.31,2023-04-01,
,Harper Taylor,35889.89,29581.72,2026-07-11,
,Olivia Johnson,11415.82,45564.43,2025-09-15,
,Olivia Davis,2602.76,42571.54,2023-11-27,
,Ella Jones,25346.6,6623.99,2026-05-07,
,Ava Gonzalez,10390.97,29242.93,2025-06-03,
,Mia Martinez,4649.37,22584.38,2024-06-02,
,Emma Wilson,37160.59,9020.68,2023-06-12,
,John Thomas,36980.46,517.56,2026-05-24,
,Liam Davis,37484.38,9971.73,2025-10-10,
,Ava Taylor,29688.31,17100.02,2025-05-19,
,John Williams,7954.74,7078.65,2024-11-18,
,Jackson Davis,21506.08,41027.11,2025-02-04,
,Matthew Wilson,32794.85,43290.39,2024-02-12,
,Olivia Anderson,20461.91,27986.74,2024-10-19,
,Benjamin Wilson,33762.38,3375.07,2025-10-12,
,Lucas Smith,44712.9,20187.83,2024-10-01,
,John Miller,42763.25,27696.77,2023-02-02,
,Grace Davis,35121.97,44628.68,2024-08-21,
,Logan Jackson,894.4,14299.59,2023-07-20,
,Jackson Martin,29123.16,34558.12,2023-10-07,
,Mia Williams,13359.45,22240.63,2024-09-20,
,Amelia Williams,33501.16,11320.95,2023-05-20,
,Isabella Taylor,32402.15,16332.02,2023-01-27,
,Charlotte Johnson,23235.68,34442.88,2024-04-17,
,Matthew Lopez,49794.37,31777.81,2023-10-05,
,Liam Garcia,47743.09,29088.07,2023-09-27,
,Benjamin Taylor,29508.94,36100.26,2025-01-16,
